topic_id,headline_topic,news_outlet,url
16,Two colleagues killed after Honda City bursts into flames in Jalan Sungai Besi crash,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/17/two-colleagues-killed-after-honda-city-bursts-into-flames-in-jalan-sungai-besi-crash/220248
16,Two colleagues killed after Honda City bursts into flames in Jalan Sungai Besi crash,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/17/2-co-workers-killed-in-fiery-car-crash-in-jalan-sungei-besi
16,Two colleagues killed after Honda City bursts into flames in Jalan Sungai Besi crash,NST,https://www.nst.com.my/news/nation/2026/05/1441334/colleagues-killed-fiery-jalan-sungai-besi-crash-after-car-hits-divider
16,Two colleagues killed after Honda City bursts into flames in Jalan Sungai Besi crash,Bernama,https://bernama.com/en/crime_courts/news.php?id=2558074
16,Two colleagues killed after Honda City bursts into flames in Jalan Sungai Besi crash,The Sun Malaysia,https://thesun.my/news/malaysia-news/crime/two-killed-in-fiery-crash-on-jalan-sungai-besi/
16,Two colleagues killed after Honda City bursts into flames in Jalan Sungai Besi crash,The Star,https://www.thestar.com.my/news/nation/2026/05/17/two-colleagues-killed-in-fiery-car-crash-on-kuala-lumpur-road
17,Ringgit closes mostly higher against major currencies on strong GDP data,Malay Mail,https://www.malaymail.com/news/money/2026/05/15/ringgit-supported-by-malaysias-strong-economic-outlook-and-reform-momentum-says-bnm/220031
17,Ringgit closes mostly higher against major currencies on strong GDP data,Free Malaysia Today,https://www.freemalaysiatoday.com/category/business/2026/05/14/ringgit-advances-against-most-currencies-slips-against-greenback
17,Ringgit closes mostly higher against major currencies on strong GDP data,NST,https://www.nst.com.my/business/economy/2026/05/1440148/strong-fundamentals-reforms-support-ringgit-33pct-versus-us-dollar
17,Ringgit closes mostly higher against major currencies on strong GDP data,The Edge Malaysia,https://theedgemalaysia.com/node/803741
17,Ringgit closes mostly higher against major currencies on strong GDP data,Bernama,https://www.bernama.com/en/news.php?id=2531014
17,Ringgit closes mostly higher against major currencies on strong GDP data,The Star,https://www.thestar.com.my/business/business-news/2026/05/15/ringgit-closes-mostly-higher-against-major-currencies-on-strong-gdp-data
18,Anwar objects to Norway’s revocation of Naval Strike Missile export licence to Malaysia,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/14/contracts-are-not-confetti-anwar-tells-norway-over-halted-missile-delivery/219870
18,Anwar objects to Norway’s revocation of Naval Strike Missile export licence to Malaysia,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/14/anwar-slams-norways-move-to-revoke-missile-export-licence
18,Anwar objects to Norway’s revocation of Naval Strike Missile export licence to Malaysia,NST,https://www.nst.com.my/news/nation/2026/05/1439128/anwar-voices-objection-over-norway-missile-block-may-affect-malaysias
18,Anwar objects to Norway’s revocation of Naval Strike Missile export licence to Malaysia,The Edge Malaysia,https://theedgemalaysia.com/node/803526
18,Anwar objects to Norway’s revocation of Naval Strike Missile export licence to Malaysia,Bernama,https://bernama.com/en/news.php?id=2556703
18,Anwar objects to Norway’s revocation of Naval Strike Missile export licence to Malaysia,The Sun Malaysia,https://thesun.my/news/malaysia-news/malaysia-objects-to-norways-missile-licence-revocation/
